,stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id,count
1691,49.256751,50333.0,-123.127351,337,,,,Southbound Oak St @ W 16 Ave,0,BUS ZN,74
1692,49.263448,50327.0,-123.134715,331,,,,Eastbound W Broadway @ Hemlock St,0,BUS ZN,129
1693,49.263381,50328.0,-123.130979,332,,,,Eastbound W Broadway @ Alder St,0,BUS ZN,129
1694,49.250584,51536.0,-123.025808,1548,,,,Eastbound E 22 Ave @ Kootenay St,0,BUS ZN,120
1695,49.274886,61306.0,-122.79928,11229,,,,Coquitlam Central Station @ Bay 13,0,BUS ZN,95
1696,49.291117,53234.0,-122.846162,3268,,,,Westbound Ioco Rd @ Kicking Horse Way,0,BUS ZN,50
1697,49.264648,50483.0,-123.114622,11227,,,,Northbound Cambie St @ W 7th Ave,0,BUS ZN,147
1698,49.106991,61280.0,-123.079004,11226,,,,Southbound Ferry Rd @ Windjammer Rd,0,BUS ZN,11
1699,49.112018,61277.0,-123.076321,11225,,,,Westbound Admiral Way @ 5300 Block,0,BUS ZN,11
1700,49.110197,61279.0,-123.078514,11224,,,,Southbound Ferry Rd @ 5900 Block,0,BUS ZN,11
1701,49.110991,61276.0,-123.072164,11223,,,,Northbound Admiral Blvd @ Cove Inlet Rd,0,BUS ZN,11
1702,49.109481,61275.0,-123.072531,11222,,,,Northbound Admiral Blvd @ Cove Reach Rd,0,BUS ZN,11
1703,49.264477,50412.0,-123.114982,11221,,,,Southbound Cambie St @ W 7th Ave,0,BUS ZN,148
1704,49.288846,51372.0,-123.125208,11220,,,,Eastbound W Pender St @ Jervis St,0,BUS ZN,135
1705,49.159374,60846.0,-123.017739,10788,,,,Eastbound Blundell Rd @ 18300 Block,0,BUS ZN,28
1706,49.27466,53161.0,-122.799011,3195,,,,Coquitlam Central Station @ Bay 6,0,BUS ZN,259
1707,49.150356,56051.0,-122.801112,6109,,,,Northbound 152 St @ 81 Ave,0,BUS ZN,166
1708,49.14156,56050.0,-122.800889,6108,,,,Northbound 152 St @ 76 Ave,0,BUS ZN,166
