,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,count
1218,TWEEJASP,1814,Tweedsmuir at Jasper WB - #1814,,42.983139,-81.189357,,,,,,0,0
1219,UNIVHOS1,1816,University Hospital NB - #1816,,43.013585,-81.274229,,,,,,0,0
1220,UNIVHOS2,1817,Universtiy Hospital SB - #1817,,43.012631,-81.273926,,,,,,0,0
1221,UNIVRIC1,1818,University Main Gates EB - #1818,,43.008938,-81.261536,,,,,,0,0
1222,UNIVRIC2,1819,University Main Gates WB - #1819,,43.008913,-81.262137,,,,,,0,0
1223,UNIVSUN1,1820,University Dr at Sunset EB - #1820,,43.007727,-81.26561,,,,,,0,0
1224,UNIVSUN2,1821,Elgin Hall WB - #1821,,43.007963,-81.265357,,,,,,0,0
1225,UPPECHI4,1825,Upper Queens North of Chiddington SB - #1825,,42.95352,-81.240689,,,,,,0,0
1226,UPPECOM1,1826,Upper Queens at Commissioners Rd NB - #1826,,42.957458,-81.241439,,,,,,0,0
1227,UPPECOM2,1827,Upper Queens at Commissioners Rd SB - #1827,,42.957062,-81.24153,,,,,,0,0
1228,VALEADEV,1832,Valetta at Adevon WB - #1832,,42.975224,-81.301735,,,,,,0,0
1229,VALECAYL,1833,Valetta at Cayley Dr WB - #1833,,42.976208,-81.295904,,,,,,0,0
1230,VALECRAM,1834,Valetta at Cramston Cres EB - #1834,,42.975337,-81.303691,,,,,,0,0
1231,VALEDER2,1835,Valetta east of Deerpark Cr WB - #1835,,42.974878,-81.306085,,,,,,0,0
1232,VALEDER4,1836,Valetta West of Deerpark WB - #1836,,42.973494,-81.306776,,,,,,0,0
1233,VALEHIB1,1837,Valetta at Hibicus EB - #1837,,42.972508,-81.30825,,,,,,0,0
1234,VALEHIB2,1838,Valetta at Hibicus  WB - #1838,,42.972441,-81.308761,,,,,,0,0
1235,VALEHYP1,1839,Valetta at Hyde Park EB - #1839,,42.968761,-81.315413,,,,,,0,0
1236,VALEHYP2,1840,Valetta at Hyde Park WB - #1840,,42.968863,-81.315273,,,,,,0,0
1237,VALEOAKR,1841,Valetta at Oakridge Dr EB - #1841,,42.976409,-81.294914,,,,,,0,0
1238,VALEOPK2,1843,Valetta at Oak Park EB - #1843,,42.973202,-81.30679,,,,,,0,0
1239,VALEPLA1,1844,Valetta at Plantation Rd EB - #1844,,42.971157,-81.312919,,,,,,0,0
1240,VALEPLA2,1845,Valetta at Plantation Rd WB - #1845,,42.971028,-81.313638,,,,,,0,0
1241,VALESAL1,1846,Valetta & Salway Place EB - #1846,,42.972067,-81.309793,,,,,,0,0
1242,VALESHR1,1847,Valetta at Shrene Terrace EB - #1847,,42.975006,-81.299449,,,,,,0,0
1243,VALESHR2,1848,Valetta at Shrene Terrace WB - #1848,,42.975439,-81.29854,,,,,,0,0
1244,VALEWOO1,1849,Valetta at Woodborough St EB - #1849,,42.97011,-81.314576,,,,,,0,0
1245,VALEWOO2,1850,Valetta at Woodborough St WB - #1850,,42.970037,-81.314657,,,,,,0,0
1246,VERUEDEN,1852,Verulam at Eden SB - #1852,,42.947258,-81.231175,,,,,,0,0
1247,VICTCOMM,1854,Victoria Hospital at Commissioners NB - #1854,,42.959454,-81.223182,,,,,,0,0
1248,VICTLOT9,1855,Victoria Hospital Cancer Centre SB - #1855,,42.959952,-81.228915,,,,,,0,0
1249,VICTMUBU,1856,Victoria Hospital at Medical Unit Building - #1856,,42.961257,-81.221941,,,,,,0,0
1250,VICTWES1,1857,Victoria Hospital at Western Counties EB - #1857,,42.959117,-81.223662,,,,,,0,0
1251,VICTZONB,1859,Victoria Hospital & Baseline Rd Ent WB - #1859,,42.961443,-81.226937,,,,,,0,0
1252,VISCCOM2,1872,Viscount AT Commissioners SB - #1872,,42.955816,-81.269168,,,,,,0,0
1253,VISCCRAN,1873,Viscount at Cranbrook WB - #1873,,42.944409,-81.302864,,,,,,0,0
1254,VISCFARN,1874,Viscount at Farnham Rd WB - #1874,,42.945708,-81.295842,,,,,,0,0
1255,VISCFOXM,1875,Viscount at Foxmill Cr WB - #1875,,42.947583,-81.284005,,,,,,0,0
