,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,count
110,2198,2198,EB Sage Hill DR @ Sage Hill GD NW,,51.171051,-114.13744,,,0,39
111,2201,2201,SB Walden DR SE @ acr. Walden TC SE,,50.87408,-114.036571,,,0,43
112,2202,2202,SB Walden DR SE @ Walden CR SE (n.leg),,50.872983,-114.03818,,,0,43
113,2203,2203,SB Walden DR SE @ Walden PA SE,,50.869042,-114.036827,,,0,43
114,2204,2204,EB Walden DR @ Walden HT SE,,50.868065,-114.032462,,,0,43
115,2205,2205,SB Legacy Village WY/ Legacy Vil RD SE,,50.859105,-114.024902,,,0,43
116,2206,2206,EB Legacy Village WY @ Legacy BV SE,,50.857198,-114.020756,,,0,43
117,2207,2207,SB Legacy CI SE @ Legacy Village WY,,50.857342,-114.01735,,,0,43
118,2208,2208,EB Legacy CI SE @ Legacy HT SE,,50.855269,-114.015008,,,0,43
119,2209,2209,NB Legacy View SE @ Legacy CI SE,,50.854735,-114.011908,,,0,43
120,2210,2210,NB Legacy VW SE @ Legacy MR  SE,,50.858409,-114.009198,,,0,43
121,2211,2211,WB Legacy CI @ Legacy VW SE,,50.860951,-114.009915,,,0,43
122,2212,2212,WB Legacy CI @ Legacy CM SE,,50.860945,-114.012454,,,0,43
123,2222,2222,EB Walden DR @ Walgrove CV SE,,50.866101,-114.025322,,,0,43
124,2223,2223,EB Walden DR @ Walgrove DR SE,,50.865485,-114.023371,,,0,43
125,2224,2224,SB Walgrove  DR SE  @ Walgrove CO SE,,50.864707,-114.022172,,,0,43
126,2234,2234,WB 6 AV @ 1 ST SE,,51.04753,-114.061468,,,0,162
127,2240,2240,NB Walden CM @ 210 AV SE,,50.866087,-114.028437,,,0,43
128,2241,2241,WB Walden DR @ Walden HT SE,,50.868201,-114.033036,,,0,43
129,2242,2242,NB Walden DR @ acr sleg of Walden CR SE,,50.8706,-114.037791,,,0,43
130,2243,2243,NB Walden DR @ acr nleg of Walden CR SE,,50.873308,-114.03752,,,0,43
131,2246,2246,SB Legacy Village Li @ 210 Av SE,,50.86381,-114.026257,,,0,43
132,2248,2248,EB Shawville WY @ W. of Shawville LI SE,,50.899905,-114.06879,,,0,168
133,2249,2249,SB Shawville LI @ Shawville WY SE,,50.89931,-114.066536,,,0,84
134,2250,2250,NB Shawville BV @ Shawville GA SE,,50.899854,-114.063378,,,0,124
135,2253,2253,EB 58 AV @ 37 ST SW,,51.000861,-114.140597,,,0,46
136,2254,2254,EB 8 AV NE @ 13A ST NE,,51.059082,-114.028984,,,0,41
137,2255,2255,WB Richardson WY @ Bishop WY SW,,51.015129,-114.12954,,,0,98
138,2256,2256,NB Redstone ST@ 128 AV NE,,51.166404,-113.96182,,,0,79
139,2257,2257,WB  Redstone DR @  Redstone ST NE,,51.168534,-113.962568,,,0,79
140,2258,2258,NB  Redstone GV @  Redstone DR NE,,51.168767,-113.965782,,,0,79
141,2259,2259,NB  Redstone GV @  Redstone VI NE,,51.170193,-113.965713,,,0,79
142,2260,2260,NB  Redstone GV @  Redstone PZ NE,,51.17196,-113.965037,,,0,79
143,2261,2261,NB  Redstone GV @  Redstone AV NE,,51.172882,-113.963533,,,0,79
144,2262,2262,SB  Redstone ST @  Redstone AV NE,,51.172891,-113.9614,,,0,79
145,2263,2263,SB  Redstone ST @  Redstone PA NE,,51.169737,-113.96219,,,0,79
146,2265,2265,EB Skyview Ranch DR @ 52 ST NE,,51.15788,-113.957853,,,0,79
147,2267,2267,EB 9 AV SW @ 81 ST SW,,51.059553,-114.20549,,,0,37
148,2268,2268,WB 9 AV SW @ 77 ST SW,,51.059753,-114.199942,,,0,36
149,2269,2269,EB Skyview Ranch DR @ Skyview Ranch ST NE,,51.157949,-113.954998,,,0,79
150,2270,2270,NB Skyview Ranch BV @ Skyview Point CM NE,,51.158607,-113.950978,,,0,79
151,2271,2271,NB Skyview Ranch BV @ Skyview Ranch AV NE,,51.161371,-113.95079,,,0,79
152,2272,2272,WB Skyview Ranch RD @ Skyview Ranch BV NE,,51.162962,-113.951745,,,0,79
153,2273,2273,EB 80 AV NE @ Martha's Meadows DR,,51.125089,-113.963616,,,0,130
154,2274,2274,EB Country Hills BV @ 14 ST NE,,51.154112,-114.0262,,,0,79
155,2275,2275,WB Country Hills BV @ 14 ST NE,,51.154442,-114.029143,,,0,81
156,2276,2276,EB 64 AV NE @ 11 ST NE,,51.110424,-114.034978,,,0,40
157,2277,2277,NB Aero DR @ S of Aero GT NE,,51.116615,-114.029923,,,0,40
158,2278,2278,NB Aero DR @ S of Aero GT NE,,51.119224,-114.032887,,,0,40
159,2279,2279,WB Aero GT @ W of Aero DR NE,,51.121226,-114.037148,,,0,40
160,2280,2280,SB Aero DR @ Aero GA NE,,51.121111,-114.036187,,,0,38
161,2281,2281,SB Aero DR NE @ Bldg 25,,51.119402,-114.033443,,,0,38
162,2282,2282,SB Aero DR NE @ Bldg 21,,51.116144,-114.029894,,,0,38
163,2283,2283,WB 36 AV NE @ 6 ST NE,,51.085027,-114.048009,,,0,1
164,2286,2286,EB 162 AV SW @ 24 ST SW,,50.906538,-114.116708,,,0,87
165,2287,2287,NB 52 ST NE adjacent to Saddlecreek CR,,51.127999,-113.958162,,,0,34
166,2288,2288,WB Saddlemont BV @ Saddleland DR NE,,51.129525,-113.939543,,,0,40
167,2289,2289,SB Redstone ST @ Redstone DR NE,,51.167723,-113.962158,,,0,79
168,2290,2290,SB Redstone ST @ Redstone WY NE,,51.166368,-113.962184,,,0,79
169,2291,2291,WB Country Hills BV @ E of Barlow TR NE,,51.154505,-113.994621,,,0,86
170,2292,2292,EB Country Hills BV @ Barlow TR NE,,51.154126,-113.999932,,,0,90
171,2293,2293,WB Country Hills BV @ Barlow TR NE,,51.154519,-114.002976,,,0,81
172,2294,2294,WB Country Hills BV @ Stonehill DR NE,,51.154517,-114.007942,,,0,81
173,2295,2295,WB Aero WY @ Aero CO NE,,51.131082,-114.029233,,,0,15
174,2296,2296,EB Areo DR @ Aero WY NE,,51.136394,-114.027448,,,0,16
175,2297,2297,EB Cityscape BV @ Metis TR NE,,51.147064,-113.969049,,,0,96
176,2299,2299,WB 17th AV SE @ 84th ST SE,,51.037989,-113.909172,,,0,90
177,2300,2300,NB 52 ST SE @ 94 AV SE,,50.969225,-113.958202,,,0,96
178,2301,2301,SB 52 ST SE @ 94 AV SE,,50.968012,-113.958837,,,0,73
179,2302,2302,NB 52 ST SE @ Copperfield GA,,50.910794,-113.949361,,,0,68
180,2303,2303,SB 52 ST SE @ Copperfield GA,,50.910577,-113.949788,,,0,73
181,2306,2306,SB 2A ST SE @ N. of 25 AV SE,,51.032559,-114.058432,,,0,30
182,2308,2308,SB Arbour Lake WY @ Arbour Ridge WY NW,,51.137378,-114.190136,,,0,77
183,2309,2309,SB 10 ST NW @ S.of Gladstone RD,,51.056238,-114.08605,,,0,46
184,2311,2311,NB 68 ST SE @ N Leg of Applewood Dr SE,,51.045776,-113.934889,,,0,13
185,2312,2312,NB 68 ST NE @ Abbercove Dr,,51.050129,-113.934914,,,0,13
186,2313,2313,NB 68 ST NE @ 4 AV SE,,51.055942,-113.934861,,,0,48
187,2314,2314,NB 68 ST NE @ Abbotsford Dr,,51.062998,-113.934913,,,0,13
188,2315,2315,NB 68 ST NE @ Monterey Square,,51.069579,-113.934913,,,0,13
189,2316,2316,NB 68 ST NE @ California BV,,51.072812,-113.934848,,,0,13
190,2317,2317,NB 68 ST NE @ 26 AV NE,,51.076276,-113.934879,,,0,13
191,2318,2318,NB 68 ST NE @ 32 AV NE,,51.082059,-113.934813,,,0,13
192,2319,2319,NB 68 ST NE @ 37 AV NE,,51.08673,-113.934917,,,0,13
193,2320,2320,NB 68 ST NE @ 43 AV NE,,51.091913,-113.93492,,,0,13
194,2321,2321,NB 68 ST NE @ Falconridge Dr,,51.101643,-113.93494,,,0,13
195,2322,2322,NB 68 ST NE @ Falton CL,,51.103624,-113.934897,,,0,13
196,2323,2323,NB 68 ST NE @ Faldale CL,,51.105139,-113.934827,,,0,13
197,2324,2324,NB 68 ST NE @ Falshire DR,,51.108224,-113.93483,,,0,13
198,2325,2325,SB 68 ST NE @ Falshire DR,,51.107649,-113.935403,,,0,12
199,2326,2326,SB 68 ST NE @ Faldale CL,,51.104809,-113.935389,,,0,12
200,2327,2327,SB 68 ST NE @ Falton CL,,51.103125,-113.935315,,,0,12
